YAL001C	151007	151096
YAL003W	142254	142619
YAL030W	87388	87500
YBL018C	186353	186427
YBL026W	170677	170804
YBL027W	168425	168808
YBL040C	142750	142846
YBL050W	125155	125270
YBL059W	110880	110948
YBL087C	60194	60697
YBR048W	332876	333386
YBR062C	366503	366584
YBR078W	393181	393510
YBR082C	407028	407122
YBR090C	426517	426873
YBR119W	479346	479434
YBR181C	592417	592768
YBR186W	602104	602216
YBR189W	604515	604927
YBR191W	606281	606668
YBR215W	653369	653452
YBR219C	662582	663002
YBR230C	679943	680039
YCL002C	111558	111633
YCR031C	177907	178213
YCR097W	293940	293993
YCR097W	294240	294291
YEL003W	148195	148282
YEL012W	131777	131899
YER003C	158995	159087
YER074W	306326	306791
YER117W	396811	397281
YER133W	432672	433196
YER179W	548553	548644
YHL001W	104406	104803
YHL050C	1898	2670
YHR010W	126552	127112
YHR012W	129529	129647
YHR016C	138241	138408
YHR021C	148117	148666
YHR041C	189750	189850
YHR076W	251156	251248
YHR077C	255638	255750
YHR097C	298361	298484
YHR101C	315772	315858
YHR123W	354865	354955
YHR141C	382307	382747
YHR203C	505248	505516
YHR218W	558616	558714
YIL004C	348364	348494
YIL018W	316772	317171
YIL052C	256555	257026
YIL069C	231958	232366
YIL073C	225810	225899
YIL106W	166435	166519
YIL111W	155223	155310
YIL133C	99096	99385
YIL148W	68716	69149
YIL177C	4599	4986
YKL002W	437838	437905
YKL006W	432035	432432
YKL081W	283096	283421
YKL156W	158616	158966
YKL157W	155272	155654
YKL180W	109578	109883
YKL190W	82999	83074
YKR004C	447707	447810
YKR005C	449952	450020
YKR057W	551681	552002
YKR094C	618375	618742
YFL039C	54378	54686
YFL034C-B	63860	63973
YFL031W	75840	76091
YFR045W	242010	242081
YER044C-A	239624	239711
YHR079C-A	262355	262440
YHR039C-A	187515	187676
YKL006C-A	430456	430596
YFR031C-A	221268	221414
YER056C-A	269752	270148
YBL111C	4117	4215
YBR084C-A	414754	415259
YDL012C	431387	431472
YDL029W	399362	399484
YDL064W	337525	337634
YDL075W	322283	322703
YDL079C	314045	314336
YDL082W	308428	308792
YDL083C	307334	307765
YDL108W	267726	267806
YDL115C	254975	255044
YDL125C	239399	239509
YDL130W	230020	230320
YDL136W	217603	218007
YDL191W	117667	118157
YDL219W	65307	65377
YDR005C	458018	458097
YDR025W	491560	491898
YDR059C	569634	569723
YDR064W	579479	580017
YDR092W	629906	630173
YDR129C	715248	715358
YDR139C	733703	733775
YDR305C	1073313	1073401
YDR318W	1103810	1103892
YDR367W	1212878	1212978
YDR381W	1236843	1237608
YDR397C	1266770	1266861
YDR424C	1319618	1319697
YDR424C	1319721	1319816
YDR447C	1355237	1355550
YDR450W	1359970	1360404
YDR471W	1401801	1402184
YDR500C	1450458	1450846
YEL076C-A	4323	4601
YER007C-A	166772	166874
YER093C-A	348202	348276
YFR024C-A	203293	203386
YGL030W	439094	439323
YGL033W	435680	435749
YGL033W	436313	436374
YGL076C	364965	365432
YGL076C	365527	365985
YGL087C	346809	346893
YGL103W	311016	311526
YGL137W	249887	250086
YGL178W	167355	167994
YGL183C	157200	157282
YGL226C-A	72989	73137
YGL232W	62132	62189
YGL251C	31427	31578
YGR001C	497366	497458
YGR001C	497938	497999
YGR029W	543639	543721
YGR034W	555831	556307
YGR118W	727039	727357
YGR183C	859261	859473
YGR214W	920665	921119
YGR225W	946328	946420
YGR296W	1084883	1085030
YHR001W-A	107832	107894
YJL001W	435228	435343
YJL024C	396494	396570
YJL031C	387349	387435
YJL041W	365785	365902
YJL136C	156790	157249
YJL177W	91095	91411
YJL189W	75939	76324
YJL191W	73797	74204
YJL205C	50269	50411
YJL225C	4582	4969
YJR021C	469184	469263
YJR079W	580348	581052
YJR094W-A	608307	608581
YJR145C	702799	703054
YLL050C	40222	40400
YLL066C	9451	9549
YLL067C	3916	4014
YLR048W	242322	242680
YLR054C	250861	250947
YLR061W	263206	263594
YLR078C	286468	286556
YLR093C	327259	327399
YLR128W	398533	398626
YLR185W	522670	523028
YLR199C	548678	548763
YLR211C	564455	564513
YLR275W	694383	694472
YLR287C-A	712726	713155
YLR306W	744154	744287
YLR316C	766074	766129
YLR316C	766182	766249
YLR329W	786616	786712
YLR344W	819331	819777
YLR367W	856575	857057
YLR406C	931350	931698
YLR426W	987142	987212
YLR445W	1024573	1024654
YLR448W	1028869	1029252
YLR464W	1067085	1067363
YML017W	236592	236953
YML024W	225892	226289
YML025C	225240	225338
YML026C	223381	223781
YML034W	211445	211570
YML036W	206098	206203
YML056C	163309	163716
YML067C	140091	140183
YML073C	123743	124157
YML085C	99260	99375
YML094W	82291	82373
YML124C	23361	23658
YML133C	3792	3890
YMR033W	337818	337903
YMR079W	424998	425153
YMR116C	499879	500151
YMR125W	517564	517885
YMR133W	537449	537564
YMR142C	550802	551203
YMR143W	551952	552495
YMR194W	651161	651623
YMR201C	666934	667017
YMR225C	721199	721345
YMR230W	732466	732875
YMR242C	753743	754219
YMR292W	854817	854898
YNL004W	622945	623286
YNL012W	609791	609874
YNL038W	557611	557684
YNL044W	545292	545370
YNL050C	534875	534965
YNL069C	494525	494973
YNL096C	443827	444171
YNL112W	414912	415913
YNL130C	380690	380781
YNL147W	350958	351053
YNL162W	331326	331837
YNL246W	185492	185586
YNL265C	145150	145254
YNL301C	64019	64450
YNL302C	62373	62923
YNL312W	48294	48401
YNL339C	5932	6079
YNR053C	721771	722302
YOL047C	242442	242504
YOL048C	240948	241025
YOL120C	93844	94290
YOL121C	92441	92830
YOL127W	80361	80774
YOR096W	505938	506338
YOR122C	552666	552874
YOR182C	678380	678790
YOR234C	778860	779386
YOR293W	867150	867586
YOR312C	900768	901193
YPL031C	492919	493020
YPL075W	412262	413012
YPL079W	406647	407067
YPL081W	404957	405457
YPL090C	377996	378389
YPL109C	345445	345596
YPL129W	305307	305411
YPL143W	282141	282665
YPL175W	218647	218746
YPL198W	173163	173571
YPL198W	173666	174072
YPL218W	138726	138864
YPL241C	96154	96233
YPL283C	5841	5988
YPR028W	623578	623710
YPR043W	654168	654570
YPR063C	678194	678279
YPR098C	729386	729481
YPR132W	795030	795394
YPR153W	833694	833827
YPR187W	911277	911352
YPR202W	943051	943198
YFL034C-A	64600	64920
YPL249C-A	75986	76223
YCR028C-A	173116	173198
YBL091C-A	47059	47146
Q0045	13987	16434
Q0045	16471	18953
Q0045	18992	20507
Q0045	20985	21994
Q0045	22247	23611
Q0045	23747	25317
Q0045	25343	26228
Q0055	13987	16434
Q0060	13987	16434
Q0060	16471	18953
Q0065	13987	16434
Q0065	16471	18953
Q0065	18992	20507
Q0070	13987	16434
Q0070	16471	18953
Q0070	18992	20507
Q0070	20985	21994
Q0075	24871	24905
Q0105	36955	37722
Q0105	37737	39140
Q0105	39218	40840
Q0105	41091	42507
Q0105	42559	43296
Q0110	36955	37722
Q0115	36955	37722
Q0115	37737	39140
Q0120	36955	37722
Q0120	37737	39140
Q0120	39218	40840
Q0255	75623	75662
Q0255	75873	75903
YBL059C-A	110421	110505
YER014C-A	184170	184677
YBR255C-A	726918	727011
YDR381C-A	1238631	1238824
YER074W-A	307747	307848
YER074W-A	307957	308067
YCL005W-A	107034	107110
YCL005W-A	107192	107287
YNL138W-A	366036	366157
YBR111W-A	462210	462289
YBR111W-A	462430	462499
YIL156W-B	47699	47760
YKR095W-A	625902	625976
YJR112W-A	637810	637858
YMR194C-B	652776	652847
YPR170W-B	883388	883486
YHR199C-A	498720	498786
YCL012C	101634	101700
YPR010C-A	582559	582701
